latitudes,longitudes,Year,Month,Day,Time,hum_1,hum_2,hum_3,hum_4,hum_5,hum_6,hum_7,hum_8,hum_9,hum_10,hum_11,hum_12,hum_13,hum_14,hum_15,hum_16,hum_17,hum_18,hum_19,hum_20,hum_21,hum_22,hum_23,hum_24,hum_25,hum_26,hum_27,hum_28,hum_29,hum_30
-49.16,-171.59,2022,1,1,20.87,60.5839,30.6101,25.6309,37.6283,22.0241,23.4789,30.7537,30.1095,25.584,21.828,10.6744,5.4442,3.2165,1.641,1.9171,2.2976,2.2273,1.6936,1.2245,0.9726,0.8548,0.7373,0.5387,0.3663,0.2749,0.2255,0.1816,0.1493,0.1119,0.0776
19.23,23.79,2022,1,1,20.94,54.2243,62.0906,7.021,2.7697,2.0525,2.4307,4.0712,1.4152,1.8122,-2.3129,7.1538,10.9494,11.3003,14.5623,17.6838,18.3249,20.6081,17.1337,11.6061,7.8412,3.5459,1.7894,1.2874,0.6349,0.4683,0.4013,0.3529,0.3028,0.2319,0.1624
-8.44,168.12,2022,1,1,20.94,83.3645,83.6366,83.4076,79.4636,81.2639,76.3021,74.9678,70.6749,59.0709,49.104,56.8594,60.9544,54.68,51.7427,50.3323,43.5411,48.7989,53.0686,19.8285,7.0537,5.8583,3.0509,1.9758,1.1469,0.68,0.4327,0.2558,0.1654,0.1109,0.0796
72.16,-9.30,2022,1,1,20.95,67.2795,60.8743,65.2385,25.7346,15.6932,15.0115,7.9486,10.2561,8.8807,6.814,6.0348,5.8355,6.2043,5.4709,5.4589,7.4124,8.662,9.397,8.272,7.7181,8.6417,11.031,15.5412,18.7249,19.9151,12.9617,7.6535,5.9044,4.5537,2.9359
-53.43,144.10,2022,1,1,20.96,77.8947,67.0055,46.1642,15.3523,7.708,18.7968,30.1004,17.0069,3.4127,3.6388,1.8091,1.3331,1.0922,1.0198,0.9845,0.787,0.5514,0.4866,0.3105,0.1949,0.1743,0.1678,0.1409,0.1211,0.1053,0.0833,0.0695,0.0608,0.0431,0.0275
71.62,47.66,2022,1,1,20.97,61.4994,38.1328,35.3707,49.9705,61.8336,57.9801,45.8387,56.5663,55.7574,56.0612,31.2831,11.58,7.6389,6.6686,6.6291,6.4406,7.2073,7.6778,9.1927,10.0106,10.9536,10.4819,10.2363,11.245,10.9731,9.296,7.6631,6.0704,4.0784,2.5153
21.19,-0.58,2022,1,1,20.98,14.4892,15.5896,12.1894,15.6454,5.4265,7.5126,6.4465,3.6692,4.3635,7.6103,13.0173,12.4258,12.2647,11.3018,10.9617,10.7048,9.0859,8.1151,7.9528,5.008,3.2209,1.8806,1.3661,0.8386,0.6357,0.5065,0.3401,0.2553,0.1986,0.1319
-28.02,-158.28,2022,1,1,21.02,79.7331,65.2546,65.7485,53.3299,12.8841,0.7894,23.2641,55.5891,36.4186,45.6642,58.0999,49.5708,42.1584,57.757,52.5954,17.5559,13.3477,11.1847,7.7579,4.1694,2.0164,1.5025,1.0485,0.679,0.5299,0.3817,0.2732,0.2004,0.1349,0.0885
-72.81,125.39,2022,1,1,21.03,NAN,NAN,NAN,68.0908,72.0867,51.2302,59.1355,55.7066,43.9968,16.4857,8.2305,4.7595,2.8959,1.586,0.96,0.5927,0.3975,0.2491,0.1485,0.1124,0.0869,0.0769,0.0623,0.0411,0.028,0.0179,0.0144,0.0127,0.0111,0.0092
-89.07,-78.29,2022,1,1,21.07,NAN,NAN,72.1568,75.1712,66.3876,76.7,87.1173,51.4851,48.3667,28.0611,11.8029,4.9297,2.3279,1.0531,0.6203,0.3473,0.2243,0.1368,0.1149,0.0897,0.0783,0.0612,0.0469,0.0388,0.0314,0.024,0.0184,0.016,0.0127,0.0097
